ID,Contract_address,File_name,Solc_version,Tx_num,Tx_in_num,Tx_all_num,Balance
1,0xB70192B2C746326Ea3A57ABFeBf7FD55AE39f1DE,StatelessLogger.sol,0.7.4,5,0,5,0
2,0xc49bc54b3f84edfa2763ad72304e0097bad9cf63,MolZap.sol,0.7.4,3,1,4,0
3,0x0487ac46bd41f4b734e08eab479330e3bd9b6cf5,Flash.sol,0.7.4,8,0,8,0
4,0x29b0aac8b07ef2473bfdca859c9c30fdddd6bf81,SimpleERC20.sol,0.7.4,1,0,1,0
5,0xcf5d62d406cb05e008eb48bbf2977f1161729d6e,SpringField.sol,0.7.4,143,0,143,0
6,0x54f3b5df9b3246f95f1a4f404f4bcfcbac60b626,SpringField__1.sol,0.7.4,13,0,13,0
7,0xdec5c11d8b9fc565a9d9ffefb8eb536456a5cc85,ServiceReceiver.sol,0.7.4,44,244,288,0
8,0xf5dba3e8c78c69e5d133f73a2b077d2abced49c1,TokenMine.sol,0.7.4,8,0,8,0
9,0x90bfc7d2c9c064b6c0e6aa446E19aae73a12c2e4,SaffronLPBalanceToken.sol,0.7.4,14,0,14,0
10,0xb753428af26E81097e7fD17f40c88aaA3E04902c,SFI.sol,0.7.4,10000,0,10000,0
11,0x82c7B218eba69BfCEeE54Ea5DAa3BdB8a2848109,DAI_Compound_Adapter.sol,0.7.4,7,0,7,0
12,0xf5136e0b8ac79cb0fd10e2f6ee35f54a2e152b4a,LexToken.sol,0.7.4,1,0,1,0
13,0x2bd9344bb2ebf4a62f05c2497254ece009f18e5b,LexToken__1.sol,0.7.4,1,0,1,0
14,0x1c21be48e7640e77567b856ce5a185bc5e91208e,SpringField__5.sol,0.7.4,2,0,2,0
15,0xc9f9de264cd16fd0e5b3fb4c1b276549f70814c7,UnilayerStake.sol,0.7.4,2,1,3,6.17E+11
16,0xec32e58223baeb657b94be2984c29843145cb05b,ERC721.sol,0.7.4,1,0,1,0
17,0xdc534208321f0e9cd9c1dd75328e2071395afd63,NFTWrapper.sol,0.7.4,2,1,3,0
18,0x8aab9ba41497504cd55b7d83f673f03e5cdd780e,NFTWrap.sol,0.7.4,1,0,1,0
19,0x359a793fc84f8a91c65482061c5056fda736ac81,Airdropper.sol,0.7.4,6,0,6,0
20,0x3e3cda3218212503883c79f6d2feef29e6bbb87d,GpyxToken.sol,0.7.4,838,0,838,0
21,0x564ed9bef88c5de8863f2fdfe9b8fafe0b9a14fe,BurnMachine.sol,0.7.4,52,0,52,0
